NY,Chicago,Austin,LA,SF
62342.78481,21032.92775,13100.7124,11649.4237,28735.61812
19744.52388,16503.56333,14726.37109,11393.23671,39237.19397
114686.6222,13319.65881,13275.72006,11073.69194,58633.44257
125787.1189,18384.46846,19054.39323,21403.86667,98003.70575
84266.63707,76413.88504,15606.85565,16568.48772,66382.38007
211858.2016,50448.77972,19451.76613,11395.0098,69808.05459
37026.51776,43664.12291,2369.007845,13002.16924,47984.71096
36789.14161,35582.77181,53319.6244,20151.59002,35914.30976
91487.5767,60803.39394,16494.73501,29124.06939,67276.55672
32604.47538,72960.07749,45618.42057,37234.7456,22549.99754
86235.46144,54406.44703,28323.74168,10753.33121,64987.34484
18635.32956,17555.77868,23287.30486,20872.84139,59152.0396
34718.15304,14733.08173,27935.62038,29069.81576,31060.123
84377.54008,94324.69008,27854.29157,28112.48013,53797.5165
136644.1891,20822.52829,31339.36364,18956.00934,51545.49915
107665.3925,47471.39923,20895.19606,16589.12713,92058.17353
23975.99383,26758.60121,20102.99129,20286.41728,34418.92138
25213.15751,25365.05376,31614.03206,14553.88507,31303.40207
26444.17199,15741.72694,38443.10673,19923.11785,86341.8226
23464.25865,29235.85446,13297.66876,21033.7284,18191.81272
23874.30172,16114.62155,31508.9876,25575.38248,57574.45588
26718.57768,14963.61222,12883.49994,13485.10046,48632.50783
24215.22199,10261.0896,25738.4475,12557.66702,32504.47731
26402.66899,39789.07113,18306.75567,57180.83402,67743.69984
21695.78634,11951.95849,13618.49477,20348.14036,23969.95458
19456.93923,11717.72803,18077.94636,28967.1662,51692.38099
17556.2632,24022.23549,37092.59501,20293.02403,28578.55856
16494.49084,23446.07817,31675.04518,15298.5322,36315.61021
19375.62726,14518.85308,25594.84257,14800.09199,20536.66944
18525.41473,14497.37004,28241.62291,17026.65569,18735.2448
18234.80912,22296.95264,66625.66283,12349.35944,26793.47585
76858.14182,28955.65373,40165.7175,29193.60854,20017.20778
22991.65729,13737.49068,50410.56732,34291.70059,39551.01239
46848.03857,19669.31327,47870.90298,40761.17852,68218.80414
17624.91149,18197.33439,39447.02952,11329.99577,29493.881
18359.32961,10896.61349,51204.95059,17487.64099,29079.69379
39512.65986,18395.50301,29221.9827,28153.77384,27926.07624
163145.1604,21321.77338,35534.55396,16469.61743,
116981.9285,13934.24558,48694.18039,25869.876,
41796.08121,32104.17051,39954.42539,19382.54964,
25015.95276,18937.39459,14790.86896,19191.2112,
170802.1087,41200.63339,10591.39261,12362.41166,
26121.2049,22732.15735,14790.4349,37031.03583,
143946.3257,12388.09233,20882.22049,40156.85563,
25319.30127,20197.4206,61007.66442,16555.69196,
38976.01326,31064.43773,22717.73511,43821.34297,
28194.91789,27568.80507,25758.26766,72553.45708,
102560.6803,16412.531,31992.67726,15964.11794,
62604.16629,13260.99287,33937.26638,25884.76683,
27245.18351,20610.11503,27971.97942,32949.48853,
39304.79227,20649.14927,16149.88316,12928.97692,
35332.0627,110007.6733,16689.26525,16467.31491,
36046.39111,29804.36107,24563.10868,12173.02662,
103244.0402,22184.37372,28999.59065,12929.76722,
62153.65412,17910.34242,35142.33005,13614.34601,
37293.01351,28859.2954,26562.16382,13369.83268,
103651.1827,64542.18722,19514.38735,49171.33158,
51203.94246,34699.34418,35458.59638,21716.30739,
76037.9186,,18241.17477,30342.54251,
66241.38143,,16892.74153,257055.3112,
9948.508976,,29692.87587,48133.94556,
29660.53012,,22879.98855,78591.66079,
95236.02954,,25860.02415,14236.81679,
88910.14679,,27031.25382,84073.46276,
165003.5625,,30250.0015,22455.70678,
29660.53012,,14726.37109,70917.50934,
95236.02954,,13275.72006,26158.64364,
88910.14679,,19054.39323,26396.32802,
165003.5625,,15606.85565,,
,,19451.76613,,
,,15606.85565,,
,,19451.76613,,