Date created,Year,Total Employment, Farm employment," Forestry, fishing, related activities, and other", Mining, Utilities, Construction, Manufacturing, Wholesale trade, Retail trade, Transportation and warehousing, Information, Finance and insurance, Real estate and rental and leasing, Professional and technical services, Management of companies and enterprises, Administrative and waste services, Educational services, Health care and social assistance," Arts, entertainment, and recreation", Accommodation and food services," Other services, except public administration", Government and government enterprises,"   Federal, civilian",   Military,   State and local,     Local
2/12/15 0:00,2001,3112501,18611,6458,2993,11143,214427,174331,101574,349622,91470,69758,139654,116723,281267,11264,189685,68711,317615,61691,187917,178447,519140,151149,49913,318078,219694
2/12/15 0:00,2002,3149967,18181,7376,2607,10221,214847,162278,100891,348289,90434,63164,142244,120198,283218,11334,192227,75639,328797,64436,193615,185608,534363,159583,50383,324397,225145
2/12/15 0:00,2003,3187289,16632,6408,2938,10272,221993,152926,99446,350162,87771,61673,145790,130515,289849,11624,196823,76406,338958,65012,198280,189303,534508,159876,49834,324798,226869
2/12/15 0:00,2004,3249529,16137,6819,2835,10120,235016,149290,101243,353595,89725,61386,147068,143155,301555,17370,204577,79772,343505,68301,198744,191853,527463,158762,47469,321232,224403
2/12/15 0:00,2005,3315948,15838,6890,3088,10131,247384,145942,103616,358682,92174,63452,149775,158229,307312,19598,205354,81601,349301,69866,204760,192919,530036,157644,47030,325362,227963
2/12/15 0:00,2006,3380096,15675,6748,3338,10170,255928,141916,104852,360650,94634,64009,150817,166101,314214,21462,211651,84090,359249,71873,208974,196297,537448,156987,47539,332922,234801
2/12/15 0:00,2007,3445459,15953,6531,3534,10490,256625,139184,104550,363571,96374,64587,156748,173366,325981,22022,215459,86261,371434,74391,213140,202823,542435,156690,46487,339258,239968
2/12/15 0:00,2008,3437197,15403,6586,4044,11005,243892,135523,102005,351919,93013,64119,160335,169132,332098,23419,211080,88557,379958,75893,215775,201914,551527,158844,46730,345953,245436
2/12/15 0:00,2009,3368494,15176,6488,3858,10637,217019,127034,96761,336133,89862,59860,166050,162580,329411,22114,201580,90649,389592,74993,211274,199783,557640,163568,46350,347722,246648
2/12/15 0:00,2010,3344652,15654,6410,4347,10358,201865,122455,94373,331252,89416,57323,159696,164849,329248,21734,204248,92378,395874,75731,209634,193873,563934,172020,46402,345512,243949
2/12/15 0:00,2011,3395483,15656,6084,3817,10746,201973,121259,95868,338188,91814,54704,167378,167638,332449,24418,206105,92561,404171,77180,214380,201472,567622,175871,48433,343318,242615
2/12/15 0:00,2012,3441868,16971,6221,4980,10892,206882,117696,95398,340634,95404,53065,165141,164101,337867,26814,213022,94215,413039,79958,222640,207525,569403,175480,50016,343907,242773
2/12/15 0:00,2013,3474596,16580,6220,4971,10623,211050,116000,95262,342329,97776,52893,167661,166173,339028,28029,217470,93146,417644,85634,229057,208592,568458,173770,49956,344732,243643
2/12/15 0:00,2015,3552200,15800,6200,5000,10400,222600,110700,96000,347800,100700,52100,174400,172000,352000,30800,226500,97700,428400,90000,237100,211600,564400,169500,49100,345800,245700
2/12/15 0:00,2020,3755200,15500,6300,5400,10500,242800,108400,99700,359600,107300,52100,185900,178800,376700,35800,244200,108500,464400,100200,254000,227200,571900,170100,47400,354400,253800
2/12/15 0:00,2025,3880700,15300,6100,5200,10700,256800,105100,101600,364700,109600,52100,190800,182500,395600,39900,259500,118100,488900,107100,265400,237000,568700,168100,44500,356100,255900
2/12/15 0:00,2030,3974200,14800,6100,4900,10900,269900,101200,102900,368300,111800,52100,192600,184500,408700,42900,271000,126200,509100,112200,273900,245100,565100,166800,41600,356700,256900
2/12/15 0:00,2035,4062700,14500,6000,4600,11000,280300,97500,104400,370200,113800,52200,194300,186000,421400,45700,282900,134900,529500,117400,281600,253200,561300,165800,38800,356700,257300
2/12/15 0:00,2040,4161000,14100,6000,4400,11100,290200,93900,106000,372700,116200,52300,196000,188000,435700,49100,296400,144000,550900,123000,290900,262800,557300,164500,36100,356700,257400